tweet,tweet URL,author id,created at
Uuuiééeeeeeeee vacina não proteja? https://t.co/UnHVXTltTa,https://twitter.com/user/status/1455298601656127497,2293015904,2021-11-01T22:19:59.000Z
Portaria proíbe demissão de trabalhador não vacinado contra covid-19 https://t.co/Sn0SPOEOtY,https://twitter.com/user/status/1455298597956857857,225028808,2021-11-01T22:19:58.000Z
"@JoanaEspadaa De qualquer forma deverias ir a uma consulta no centro de saúde or something, nao por causa do covid mas porque pode ser alguma cena",https://twitter.com/user/status/1455298604663463945,1620318296,2021-11-01T22:20:00.000Z
"Mas pera, então era pro meu salário cair em euro??????????? ESTOU SENDO ROUBADO???? PQ EU TO RECEBENDO EM REAL????? https://t.co/uwvzerYJPa",https://twitter.com/user/status/1455298607708524548,279250197,2021-11-01T22:20:00.000Z
Já assistiu? https://t.co/Qf37l74zFg,https://twitter.com/user/status/1455298608908091399,1405263708314554369,2021-11-01T22:20:01.000Z
"@senadorhumberto Ainda bem que criaram o corona cachaça, ops vírus. 😂

Quem disse? 👇

https://t.co/LMHHKQ3cLM",https://twitter.com/user/status/1455298607763046403,1194709817920827394,2021-11-01T22:20:00.000Z
"@UOL Até que enfim. Nem é 0brigado a tomar vacina, ou não seríamos um pais livre.",https://twitter.com/user/status/1455298609889566724,1447683166169350149,2021-11-01T22:20:01.000Z
"Fico puto com quem fala que pet não é filho, meu gato é meu filho sim! Eu que gasto com ração super premium, remédio contra parasitas, areia, sachê, brinquedo, shampoo, sem falar nas consultas, vacinas, microchip, castração. Alimentar na hora certa, dar atenção e limpar a caixa..",https://twitter.com/user/status/1455298612007776264,157126430,2021-11-01T22:20:01.000Z
"@gusstavotelles @mdesandrade @ligeirao1 a vacina da astrazeneca ainda tem intervalo entre doses de 12 semanas como ideal
a da pfizer teve intervalo reduzido de 12 para 8 semanas
inclusive no site da prefeitura fala q pra ser apto a tomar a 2ª dose adiantada tem q ter tomado a 1ª no mínimo 8 semanas atrás",https://twitter.com/user/status/1455298612917907462,475772229,2021-11-01T22:20:02.000Z
Senadores apresentam projetos tornando obrigatório o certificado de vacinação https://t.co/nbpm1rN06j,https://twitter.com/user/status/1455298610573234183,1246486875126325251,2021-11-01T22:20:01.000Z
@xbiancavieirax BIANCA EU SÓ TENHO JEANS E CAMISETA KKKKKKK eu nao compro roupa desde antes da pandemia,https://twitter.com/user/status/1455298615300214799,40542742,2021-11-01T22:20:02.000Z
Uma vez uma menina disse q ainda não estava saindo q achava um absurdo e aquelas coisa etc quando foi questionado ao grupo e eu pensei uma coisa feia mas tão feia………… https://t.co/VkBSj6pc85,https://twitter.com/user/status/1455298613488328708,1053408086315200517,2021-11-01T22:20:02.000Z
"Foi cirúrgico! 

#NemLulaNemBolsonaro 

🇧🇷 A melhor alternativa, mais equilibrada, competente e responsável é #MoroPresidente2022 https://t.co/E7P6GbhiLP",https://twitter.com/user/status/1455298615614873605,1254541082832130050,2021-11-01T22:20:02.000Z
aí isso aqui eh uma bosta memo https://t.co/SujgQVQoaG,https://twitter.com/user/status/1455298622527049732,34046028,2021-11-01T22:20:04.000Z
"Datena ataca Bolsonaro sem dó, derruba máscara do Presidente e dispara: “Não fez nada pelo país” https://t.co/yJBZSYhSt0",https://twitter.com/user/status/1455298624758370312,1204868527343198208,2021-11-01T22:20:04.000Z
"Covid-19: Rui Costa anuncia que servidores públicos só poderão trabalhar se tiverem tomado duas doses de vacina

https://t.co/Gs8vN8bgcg https://t.co/0ezwmNf9Pr",https://twitter.com/user/status/1455298626792697861,708050285353107460,2021-11-01T22:20:05.000Z
@crisvitoriosa27 @joaoamoedonovo Vacinas que funcionam há décadas e que realmente previnem doenças. Né? Não esse experimento aí.,https://twitter.com/user/status/1455298635021881351,1106756534627983360,2021-11-01T22:20:07.000Z
Quanto tempo até o STF decidir que não vale nada? Não sei. Mas há q se comemorar as pequenas vitórias temporárias. https://t.co/9AcffM6J9b,https://twitter.com/user/status/1455298632962424843,2550444976,2021-11-01T22:20:06.000Z
Meu Deus!! https://t.co/vxaO0T754d,https://twitter.com/user/status/1455298638658347008,1422304399800610816,2021-11-01T22:20:08.000Z
"Governo Bolsonaro proíbe empresas de demitir funcionários não vacinados contra covid-19
https://t.co/GTTACq7jkF",https://twitter.com/user/status/1455298641225207813,245896728,2021-11-01T22:20:08.000Z
